Time (s),Rotational Speed (rpm/sec)
0,0
1,106.373626373626
2,131.516483516484
3,102.505494505494
4,54.6373626373626
5,76.8791208791209
6,66.2417582417582
7,21.2747252747253
8,147.956043956044
9,139.252747252747
10,22.7252747252747
11,61.4065934065934
12,44
13,80.7472527472527
14,44
15,48.3516483516484
16,859.208791208791
17,2352.30769230769
18,4018.98901098901
19,5709.36263736264
20,6610.15384615385
21,6888.65934065934
22,6775.03296703297
23,6675.42857142857
24,6367.91208791209
25,5874.24175824176
26,5286.76923076923
27,4536.35164835165
28,3756.43956043956
29,2858.54945054945
30,2060.26373626374
31,1603.34065934066
32,1506.63736263736
33,1893.45054945055
34,2476.08791208791
35,3058.24175824176
36,3397.18681318681
37,3714.37362637363
38,3571.73626373626
39,3414.59340659341
40,3198.94505494505
41,2993.93406593407
42,2841.14285714286
43,2794.72527472527
44,2684.48351648352
45,2669.01098901099
46,2715.91208791209
47,2841.14285714286
48,2981.36263736264
49,2981.84615384615
50,2904.96703296703
51,3079.51648351648
52,3115.2967032967
53,3076.61538461538
54,3163.16483516484
55,3184.43956043956
56,3136.57142857143
57,3085.31868131868
58,3106.10989010989
59,3024.87912087912
60,3130.76923076923
61,2989.0989010989
62,2965.40659340659
63,3018.59340659341
64,2962.02197802198
65,2968.30769230769
66,2958.63736263736
67,2889.01098901099
68,2945.0989010989
69,2931.56043956044
70,3007.95604395604
71,2943.64835164835
72,2940.26373626374
73,2794.72527472527
74,2906.9010989011
75,2958.15384615385
76,2975.07692307692
77,2970.72527472527
78,2992.48351648352
79,3007.95604395604
80,2987.64835164835
81,2968.30769230769
82,2969.27472527473
83,2949.45054945055
84,2955.25274725275
85,2856.61538461538
86,3108.52747252747
87,3053.40659340659
88,3143.82417582418
89,3184.92307692308
90,3126.41758241758
91,3093.05494505495
92,3056.79120879121
93,3039.86813186813
94,3033.58241758242
95,3032.61538461538
96,2983.2967032967
97,2970.72527472527
98,3059.69230769231
99,2999.73626373626
100,3112.3956043956
