Time (s),Torque (in-lb)
0,0
1,-0.0103027961898198
2,-0.011836051041058
3,-0.0133693058922961
4,-0.0195023252972487
5,-0.0149025607435343
6,-0.0164358155947724
7,-0.0179690704460106
8,-0.0210355801484869
9,-0.022568834999725
10,-0.00263652193362907
11,-0.0241020898509632
12,-0.0333016189583921
13,-0.00876954133858168
14,-0.0302351092559158
15,0.0164358155947724
16,0.0363681286608684
17,0.0256353447022014
18,0.0271685995534395
19,0.0195023252972487
20,0.0149025607435343
21,0.0287018544046776
22,0.0149025607435343
23,0.0103027961898198
24,-0.0103027961898198
25,0.00263652193362907
26,0.00263652193362907
27,0.0241020898509632
28,0.0195023252972487
29,0.0271685995534395
30,0.0210355801484869
31,0.0547671868757262
32,0.0348348738096303
33,0.042501148065821
34,0.0363681286608684
35,0.0440344029170592
36,0.0287018544046776
37,0.0195023252972487
38,-0.022568834999725
39,0.00416977678486722
40,0.00723628648734353
41,-0.00570303163610537
42,0.0256353447022013
43,0.0241020898509632
44,0.00570303163610537
45,0.042501148065821
46,0.0379013835121066
47,0.0149025607435343
48,0.0103027961898198
49,0.022568834999725
50,0.0302351092559158
51,-0.0103027961898198
52,0.0409678932145829
53,0.042501148065821
54,-0.00416977678486722
55,0.0149025607435343
56,0.0256353447022013
57,0.0133693058922961
58,0.022568834999725
59,0.0149025607435343
60,0.00263652193362907
61,-0.00723628648734353
62,0.0133693058922961
63,0.022568834999725
64,0.0517006771732499
65,0.00876954133858168
66,0.011836051041058
67,-0.011836051041058
68,0.0195023252972487
69,-0.00263652193362907
70,-0.00263652193362907
71,0.0287018544046776
72,0.0103027961898198
73,0.00723628648734353
74,0.0379013835121066
75,-0.00416977678486722
76,0.0317683641071539
77,0.00263652193362907
78,0.0133693058922961
79,0.0103027961898198
80,-0.0133693058922961
81,0.00570303163610538
82,0.0103027961898198
83,0.0103027961898198
84,0.00570303163610537
85,0.0501674223220118
86,0.0149025607435343
87,0.0164358155947724
88,0.0195023252972487
89,0.0133693058922961
90,0.00876954133858168
91,0.0241020898509632
92,0.00416977678486722
93,0.0241020898509632
94,0.0210355801484869
95,-0.011836051041058
96,0.0317683641071539
97,0.0149025607435343
98,0.00570303163610537
99,0.0348348738096303
100,0.0149025607435343
101,0.0103027961898198
102,0.00876954133858168
103,0.0103027961898198
104,-0.00723628648734353
105,0.00876954133858168
106,0.0210355801484869
107,0.0164358155947724
108,0.042501148065821
109,0.0271685995534395
110,0.00876954133858168
111,0.0256353447022013
112,0.0317683641071539
113,-0.00263652193362907
114,0.0317683641071539
115,0.00263652193362907
116,0.0149025607435343
117,0
118,0.00416977678486722
119,0.0409678932145829
120,-0.00263652193362907
121,-0.00723628648734353
122,-0.00263652193362907
123,0.00723628648734353
124,-0.0103027961898198
125,0.0333016189583921
126,-0.0149025607435343
127,0.00570303163610537
128,0.00876954133858168
129,0.00416977678486722
130,-0.00416977678486722
131,0.011836051041058
132,0.022568834999725
133,0.00876954133858168
134,0.0287018544046776
135,0.022568834999725
136,0.0241020898509632
137,-0.00416977678486722
138,0.0256353447022013
139,-0.00570303163610537
140,0.0271685995534395
141,0.011836051041058
142,-0.00416977678486723
143,0.0409678932145829
144,0.00723628648734353
145,0.011836051041058
146,0.0287018544046776
147,0.0271685995534395
148,0.0287018544046776
149,0.022568834999725
150,0.0164358155947724
151,0.0271685995534395
152,0.0149025607435343
153,0.0271685995534395
154,0.022568834999725
155,0.0440344029170592
156,0.0317683641071539
157,0.00416977678486722
158,0.011836051041058
159,0.011836051041058
160,0.00570303163610537
161,0.022568834999725
162,0.0149025607435343
163,-0.0287018544046776
164,-0.00416977678486722
165,0.0210355801484869
166,-0.0133693058922961
167,0.0149025607435343
168,-0.0195023252972487
169,0.0164358155947724
170,0.00416977678486722
171,0.0149025607435343
172,0.0532339320244881
173,0.0256353447022013
174,0.00570303163610537
175,0.0179690704460106
176,-0.00416977678486722
177,0.0133693058922961
178,0.0333016189583921
179,0.0133693058922961
180,0.0256353447022013
181,0.00723628648734353
182,-0.00263652193362907
183,0.0103027961898198
184,0.00876954133858168
185,0.0333016189583921
186,-0.0103027961898198
187,0.0256353447022013
188,0.0179690704460106
189,0.0103027961898198
190,0.0210355801484869
191,0.0103027961898198
192,0.042501148065821
193,0.022568834999725
194,0.0164358155947724
195,0.00110326708239092
196,0.0149025607435343
197,0.0333016189583921
198,0.0210355801484869
199,0.0195023252972487
200,-0.00876954133858168
201,0.0195023252972487
202,0.0149025607435343
203,0.00416977678486723
204,-0.00416977678486722
205,0.011836051041058
206,-0.0149025607435343
207,0.0179690704460106
208,0.0195023252972487
209,0.022568834999725
210,0.0241020898509632
211,0.00570303163610537
212,0.011836051041058
213,0.00416977678486722
214,0.00570303163610537
215,0.0149025607435343
216,0.0149025607435343
217,0
218,0.0164358155947724
219,0.011836051041058
220,0.0103027961898198
221,0.00570303163610537
222,0.0179690704460106
223,0.0133693058922961
224,0.0149025607435343
225,0.00723628648734353
226,0.0103027961898198
227,0.0210355801484869
228,0.0164358155947724
229,0.022568834999725
230,0.022568834999725
231,0.0164358155947724
232,0.011836051041058
233,0.0333016189583921
234,0
235,0.0256353447022013
236,0.0256353447022013
237,0.0103027961898198
238,0.0287018544046776
239,0.011836051041058
240,0.022568834999725
241,0.0333016189583921
